"Value","Category","Pixel count","Area (acres)"
"1","Corn","441970","10921.3"
"5","Soybeans","378463","9352"
"61","Fallow/Idle Cropland","66363","1639.9"
"36","Alfalfa","54146","1338"
"47","Misc Vegs & Fruits","8621","213"
"37","Other Hay/Non Alfalfa","3954","97.7"
"23","Spring Wheat","3838","94.8"
"54","Tomatoes","3728","92.1"
"27","Rye","3489","86.2"
"21","Barley","1858","45.9"
"44","Other Crops","1714","42.4"
"229","Pumpkins","1600","39.5"
"42","Dry Beans","1559","38.5"
"12","Sweet Corn","1461","36.1"
"59","Sod/Grass Seed","1206","29.8"
"28","Oats","1021","25.2"
"68","Apples","964","23.8"
"53","Peas","676","16.7"
"41","Sugarbeets","563","13.9"
"243","Cabbage","511","12.6"
"48","Watermelons","361","8.9"
"24","Winter Wheat","358","8.8"
"205","Triticale","236","5.8"
"58","Clover/Wildflowers","227","5.6"
"66","Cherries","206","5.1"
"216","Peppers","181","4.5"
"221","Strawberries","135","3.3"
"43","Potatoes","122","3"
"222","Squash","104","2.6"
"70","Christmas Trees","83","2.1"
"29","Millet","81","2"
"69","Grapes","78","1.9"
"6","Sunflower","64","1.6"
"4","Sorghum","31","0.8"
"71","Other Tree Crops","16","0.4"
"249","Gourds","9","0.2"
"13","Pop or Orn Corn","4","0.1"
"209","Cantaloupes","2","0"
"60","Switchgrass","1","0"